l1 entry price,l2 entry price,total investment,time,,l1,,,,,l2,,,,,total close,,overall,target hitt,stoploss hitt,individual,l1 tgt,l1 st,l2 tgt,l2st
,,,11:06:00,,3.7,3.75,3.55,3.7,,275,277.1,271.8,271.8,,269.45,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:07:00,,3.75,3.95,3.75,3.95,,271.8,271.8,265.35,265.35,,269.7,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:08:00,,3.9,3.95,3.75,3.9,,265.35,269,264.85,269,,269.65,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:09:00,,3.85,3.9,3.6,3.6,,269,270.95,266.25,270.95,,269.35,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
,,,11:10:00,,3.65,3.7,3.45,3.6,,270.95,273.05,269.95,271.9,,269.35,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:11:00,,3.6,3.6,3.45,3.5,,271.9,274.45,269.2,272.7,,269.25,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:12:00,,3.5,3.5,3.2,3.35,,272.7,278.3,272.5,274.1,,269.1,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:13:00,,3.35,3.45,3.25,3.3,,274.1,277,271.3,277,,269.05,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:14:00,,3.4,3.4,3.2,3.25,,277,280,274.9,278.3,,269,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:15:00,,3.2,3.25,3.15,3.15,,278.3,281.1,278,278.3,,268.9,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:16:00,,3.2,3.35,3.15,3.3,,279.4,279.4,273.4,275.45,,269.05,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:17:00,,3.3,3.45,3.25,3.25,,274.5,276.6,274,276.6,,269,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:18:00,,3.25,3.3,3.1,3.15,,276.6,282,276.6,281.2,,268.9,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:19:00,,3.15,3.2,2.85,2.9,,281.2,284.85,281.2,284.1,,268.65,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:20:00,,2.9,3,2.85,3,,284.1,285.6,280.95,281.6,,268.75,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:21:00,,2.95,3.05,2.95,3,,281.6,284.3,281.2,283,,268.75,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:22:00,,3,3,2.95,2.95,,283,283.9,283,283.9,,268.7,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:23:00,,2.95,3.1,2.95,3.05,,283.9,285.55,281.9,282.1,,268.8,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:24:00,,3.05,3.05,2.95,2.95,,282.1,285.1,282.1,283,,268.7,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:25:00,,3,3.05,2.95,3,,283,283,277.3,277.3,,268.75,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:26:00,,3.05,3.1,3,3.1,,278,279.3,276.65,276.65,,268.85,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:27:00,,3.1,3.2,3.05,3.15,,276.65,278.6,275.8,275.85,,268.9,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:28:00,,3.15,3.2,3.1,3.15,,275.85,278,273,278,,268.9,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:29:00,,3.15,3.25,3.1,3.15,,278,278,274.15,274.6,,268.9,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:30:00,,3.2,3.2,3.05,3.1,,274.6,276.3,274.6,276.15,,268.85,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:31:00,,3.1,3.1,2.95,3,,276.15,282.4,276.15,282.3,,268.75,,,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE
,,,11:32:00,,3.05,3.05,2.85,2.95,,282.3,284.15,281.2,284.15,,268.7,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:33:00,,2.9,3.05,2.85,3,,284.15,285.25,280.35,282.4,,268.75,,,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE
,,,11:34:00,,2.95,3.25,2.95,3.25,,282.4,282.4,267.6,268.1,,269,,,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE
